,id,name,language,pull_requests,size,contributors,age,contributor_xp,pr_points
0,16602433,1j01/jspaint,JavaScript,5,18759,11,3647,1.688,1.705
0,22355214,remarkjs/remark,JavaScript,80,13147,113,2141,1.713,5.842
0,81572885,WenchaoD/FSPagerView,Swift,10,2105,8,1831,1.39,2.622
0,261943,middleman/middleman,Ruby,640,23430,166,4942,2.992,15.295
0,28468993,curlconverter/curlconverter,TypeScript,250,3048,35,3330,2.907,23.108
0,98823234,Bogdan-Lyashenko/js-code-to-svg-flowchart,JavaScript,6,14235,8,1666,1.361,1.716
0,73470551,tkipf/gcn,Python,10,5210,9,1415,1.331,3.997
0,12631084,HubSpot/vex,CSS,41,3137,28,1633,2.497,5.304
0,1762028,BlocksKit/BlocksKit,Objective-C,69,5860,54,1710,3.959,4.719
0,343533419,charmbracelet/lipgloss,Go,119,332,24,1068,2.942,9.625
0,56192185,apollographql/react-apollo,JavaScript,1815,16475,181,2555,5.498,18.735
0,141827644,RockstarLang/rockstar,JavaScript,85,1927,49,1196,2.011,7.36
0,65616765,gokcehan/lf,Go,314,1685,88,2731,1.64,23.269
0,16907502,fatih/color,Go,55,2041,33,2858,2.165,5.407
0,443977141,HigherOrderCO/HVM,Rust,90,4701,41,762,2.109,7.995
0,22720859,mailgun/transactional-email-templates,HTML,6,215,5,2737,1.266,2.657
0,101609772,rough-stuff/wired-elements,TypeScript,44,1917,12,1527,1.883,7.321
0,273132277,moonD4rk/HackBrowserData,Go,48,10845,19,1300,1.366,6.32
0,6036101,adamwdraper/Numeral-js,JavaScript,48,1103,46,1637,1.818,6.105
0,3342055,nodejs/node-gyp,Python,189,5222,222,3750,4.995,3.579
0,86840811,buefy/buefy,Vue,16,31540,363,2468,9.388,2.542
0,1963063,Automattic/kue,JavaScript,140,6432,100,2907,1.809,3.31
0,91054480,rs/zerolog,Go,207,1354,141,2459,5.47,9.302
0,275386910,soxoj/maigret,Python,5,5588,29,84,2.589,2.735
0,63760777,mdbootstrap/material-design-for-bootstrap,JavaScript,19,11631,19,1478,4.115,5.207
0,95492797,alexanderepstein/Bash-Snippets,Shell,93,4188,43,2199,3.815,7.151
0,275604,resque/resque,Ruby,410,2597,234,5120,5.917,22.391
0,92648433,gwuhaolin/livego,Go,32,2614,19,1935,2.908,4.991
0,614258120,josStorer/chatGPTBox,JavaScript,67,3074,31,321,1.833,5.234
0,2902935,moovweb/gvm,Shell,102,795,67,4272,3.356,7.902
0,2791348,jprichardson/node-fs-extra,JavaScript,231,1250,84,4412,2.568,16.92
0,3951767,phpDocumentor/ReflectionDocBlock,PHP,172,1198,47,4206,4.541,12.561
0,40724813,junegunn/fzf.vim,Vim Script,133,795,89,2974,3.03,20.887
0,622166,FriendsOfPHP/Goutte,PHP,97,2977,67,4727,2.994,9.498
0,173675448,EtherDream/jsproxy,Shell,2,2889,3,81,1.042,1.6
0,59187489,listen1/listen1_desktop,JavaScript,37,737,8,2202,1.435,10.862
0,154542095,facebookresearch/maskrcnn-benchmark,Python,196,6842,79,392,4.713,11.141
0,86337343,skypjack/entt,C++,29,35132,71,1214,2.623,3.478
0,41589439,MathewSachin/Captura,C#,208,5730,46,1703,2.242,23.1
0,113115495,wulabing/Xray_onekey,Shell,9,2924,9,1170,1.592,3.647
0,31295421,guzzle/psr7,PHP,212,1073,86,2964,4.526,12.87
0,6750158,mgechev/javascript-algorithms,JavaScript,103,4172,44,3770,1.66,7.851
0,52287768,dthree/cash,JavaScript,37,368,17,603,2.661,8.185
0,12332444,onsi/ginkgo,Go,356,7476,171,3819,7.415,26.558
0,16650937,expressjs/morgan,JavaScript,9,242,20,2255,2.385,3.754
0,6098927,robertkrimen/otto,Go,141,2241,55,4102,3.166,6.778
0,24120252,vladikoff/chromeos-apk,JavaScript,18,96,10,2284,1.224,4.793
0,282637924,nilaoda/BBDown,C#,54,17418,18,1205,2.344,8.725
0,81226206,karatelabs/karate,Java,35,26060,94,2540,4.179,4.078
0,95970824,FullHuman/purgecss,TypeScript,279,19937,74,1492,3.11,8.619
0,104670977,dvf/blockchain,C#,20,127,11,592,1.495,3.687
0,111790807,thx/rap2-delos,TypeScript,23,512,20,1384,3.013,4.222
0,72754695,styled-components/polished,JavaScript,221,10844,75,1395,4.252,18.568
0,75629834,vercel/styled-jsx,JavaScript,182,2554,75,1872,5.254,13.927
0,192154202,ChrisAnd1998/TaskbarX,Visual Basic .NET,11,38931,8,1207,1.662,2.613
0,72523920,cupy/cupy,Python,3452,40115,292,2311,12.66,39.151
0,112321084,Raathigesh/majestic,TypeScript,85,9970,29,1314,1.628,7.379
0,171410703,reactive-python/reactpy,Python,156,22380,21,578,1.543,8.545
0,95196818,gregberge/loadable-components,JavaScript,183,9312,104,1313,4.468,8.621
0,10166531,mitchellh/mapstructure,Go,75,366,53,3258,2.479,18.959
0,224841533,Vanessa219/vditor,TypeScript,42,25537,47,1503,3.432,3.41
0,49316177,wuchangming/spy-debugger,JavaScript,3,6969,4,1650,1.387,2.1
0,52710065,all-contributors/all-contributors,HTML,321,16593,96,2711,5.435,7.372
0,9983223,dtao/lazy.js,JavaScript,37,4151,27,1361,2.014,6.668
0,165092572,go-echarts/go-echarts,Go,152,3450,41,1854,2.414,8.816
0,38602457,graphql-java/graphql-java,Java,1397,14073,210,3138,5.151,34.571
0,142908872,axa-group/nlp.js,JavaScript,700,33209,61,1759,3.113,7.092
0,368683828,golang-jwt/jwt,Go,5,2044,97,9,3.402,2.623
0,65017574,botman/botman,PHP,253,1495,98,1385,3.662,10.076
0,136570231,stride3d/stride,C#,651,31735,113,2061,2.206,8.653
0,87750994,notwaldorf/tiny-care-terminal,JavaScript,61,305,30,1119,1.637,8.48
0,5746658,PRML/PRMLT,MATLAB,18,506,3,2008,1.157,5.136
0,41578337,nathancahill/split,JavaScript,274,2822,32,2866,2.5,10.882
0,85095608,airbnb/visx,TypeScript,596,15344,147,2518,6.406,13.785
0,41717707,jcjohnson/neural-style,Lua,16,48191,12,364,1.671,2.325
0,1223029,tj/n,Shell,118,3308,79,4129,2.245,14.546
0,114938943,NginxProxyManager/nginx-proxy-manager,JavaScript,78,12077,125,2222,4.618,7.51
0,13807606,junegunn/fzf,Go,421,5443,233,3755,3.546,12.507
0,486550,h5bp/html5-boilerplate,JavaScript,495,22356,250,4224,5.854,30.81
0,71220757,swisskyrepo/PayloadsAllTheThings,Python,505,21361,259,2635,3.994,9.408
0,612354784,ggerganov/llama.cpp,C++,1692,20225,479,334,5.067,37.437
0,62367558,vercel/hyper,TypeScript,478,22780,260,2718,3.065,11.646
0,254832799,Z4nzu/hackingtool,Python,52,1373,35,1281,2.304,4.651
0,281975310,type-challenges/type-challenges,TypeScript,300,2801,206,634,3.821,4.352
0,207645083,TanStack/query,TypeScript,786,40724,475,991,3.911,9.535
0,5923215,hexojs/hexo,JavaScript,835,5671,170,4144,4.925,29.839
0,90563585,chubin/cheat.sh,Python,122,4558,48,1806,2.089,13.599
0,61137153,evanw/esbuild,Go,201,16962,103,2363,1.838,18.695
0,42283287,preactjs/preact,JavaScript,1307,15191,307,2858,7.224,14.345
0,38558578,nativefier/nativefier,TypeScript,222,6372,130,2973,2.314,10.095
0,2329766,mathiasbynens/dotfiles,Shell,42,836,120,3132,2.893,10.122
0,30969188,react-boilerplate/react-boilerplate,JavaScript,223,8943,183,1544,3.74,8.965
0,5405654,pcottle/learnGitBranching,JavaScript,410,30933,263,3170,2.86,16.974
0,95876775,elsewhencode/project-guidelines,JavaScript,113,493,66,1901,3.715,8.989
0,13584262,webtorrent/webtorrent,JavaScript,808,27586,161,3764,1.646,14.402
0,33041711,ryanhanwu/How-To-Ask-Questions-The-Smart-Way,JavaScript,72,439,49,2129,4.207,22.771
0,42920477,layui/layui,JavaScript,31,11661,49,2084,1.704,4.943
0,168008797,microsoft/calculator,C++,626,36934,90,1231,3.956,19.885
0,61929586,shengxinjing/programmer-job-blacklist,Shell,16,329,14,953,1.909,8.265
0,164574693,qishibo/AnotherRedisDesktopManager,JavaScript,122,4732,29,1854,2.153,16.405
0,6247705,stretchr/testify,Go,397,1462,213,4114,9.586,15.549
0,8768406,postcss/autoprefixer,JavaScript,241,8054,177,2814,3.565,15.536
0,11393110,urfave/cli,Go,468,11100,242,3326,6.612,11.931
0,39122628,git-tips/tips,JavaScript,139,393,68,2848,1.917,17.022
0,1376664,Seldaek/monolog,PHP,494,4640,397,3475,7.904,37.912
0,143615438,MLEveryday/100-Days-Of-ML-Code,Jupyter Notebook,42,44918,19,1339,2.395,4.017
0,16072585,phoenixframework/phoenix,Elixir,2235,21409,437,3327,5.549,16.946
0,53133861,nikitavoloboev/config,Shell,16,12286,1,1762,0.5,4.859
0,242754476,tailwindlabs/heroicons,JavaScript,52,3006,28,1393,3.33,5.459
0,150042589,nostalgic-css/NES.css,SCSS,41,4745,56,449,3.86,5.355
0,45942274,enzymejs/enzyme,JavaScript,645,7851,335,2680,1.956,19.853
0,18442377,lewagon/dotfiles,Shell,46,213,22,3162,2.474,3.709
0,226726247,wenyan-lang/wenyan,TypeScript,154,47391,56,792,2.173,9.369
0,15116946,vuejs/vue-router,JavaScript,19,11972,276,932,5.737,3.182
0,38366638,reduxjs/reselect,TypeScript,160,4859,99,3130,5.515,10.506
0,61421257,eggjs/egg,JavaScript,1064,10109,204,2776,4.033,25.4
0,3755875,Prinzhorn/skrollr,HTML,34,1659,24,1187,2.666,3.404
0,40808571,yudai/gotty,Go,33,6932,20,849,1.146,3.831
0,50418153,you-dont-need/You-Dont-Need-Lodash-Underscore,JavaScript,224,740,131,2848,4.853,20.695
0,26682105,darkreader/darkreader,TypeScript,4763,32217,430,2787,5.834,33.775
0,385637027,movie-web/movie-web,TypeScript,91,7302,101,927,2.728,6.679
0,118945118,antonmedv/fx,Go,32,4427,23,2068,2.6,2.83
0,75158620,lin-xin/vue-manage-system,Vue,37,3211,5,1962,1.109,5.64
0,19463625,nginx-proxy/nginx-proxy,Python,184,1268,121,2523,5.817,4.945
0,809601,handlebars-lang/handlebars.js,JavaScript,280,4058,174,4883,4.155,8.675
0,2881789,geekcomputers/Python,Python,1268,36577,408,4440,3.161,16.471
0,218115303,vercel/swr,TypeScript,452,3392,167,757,7.031,21.877
0,582822129,karpathy/nanoGPT,Python,39,935,31,176,2.105,5.599
0,186024298,nushell/nushell,Rust,1121,40840,417,422,6.643,27.021
0,39176269,vuejs/vuex,JavaScript,103,16717,310,585,8.705,9.412
0,18049133,kenwheeler/slick,JavaScript,235,3714,133,3018,3.137,16.636
0,1864363,composer/composer,PHP,2080,26355,383,3780,6.71,54.92
0,698041,caolan/async,JavaScript,493,7415,235,4993,3.351,11.497
0,54994103,floating-ui/floating-ui,TypeScript,849,38613,88,2866,4.254,10.058
0,31504491,labstack/echo,Go,537,6343,254,3264,3.05,21.416
0,18369373,spf13/viper,Go,376,1295,159,3596,2.484,18.774
0,181807583,haizlin/fe-interview,JavaScript,8,7281,6,332,1.153,3.055
0,20270252,feathericons/feather,JavaScript,102,16140,43,3219,2.65,5.637
0,45723377,charlax/professional-programming,Python,30,4706,27,2851,1.444,12.929
0,77144337,openfaas/faas,Go,674,27833,163,2575,6.292,6.879
0,33569135,ReactiveX/RxSwift,Swift,20,16233,336,1988,5.652,2.951
0,299482335,withfig/autocomplete,TypeScript,1414,27448,407,1226,10.315,18.324
0,49910095,vapor/vapor,Swift,746,16740,229,1872,3.918,19.489
0,71487058,TanStack/table,TypeScript,416,22399,378,1864,3.017,17.62
0,53632140,zyedidia/micro,Go,614,12835,261,2868,3.187,9.374
0,10851820,ramda/ramda,JavaScript,1291,8209,300,3850,8.148,18.669
0,74073233,keon/algorithms,Python,430,1468,184,2636,4.081,29.493
0,195226340,goldbergyoni/javascript-testing-best-practices,JavaScript,141,10417,68,1259,4.051,14.429
0,122734569,iawia002/lux,Go,276,2527,95,2140,4.016,10.473
0,1377867,locustio/locust,Python,749,16825,253,4737,4.42,23.459
0,144590939,VSCodium/vscodium,Shell,380,29971,100,1994,5.118,12.054
0,80990461,eriklindernoren/ML-From-Scratch,Python,9,553,6,985,1.094,3.358
0,14812739,libuv/libuv,C,48,16037,445,3643,5.191,9.256
0,3757512,balderdashy/sails,JavaScript,412,13180,223,4323,3.596,10.132
0,401025,mislav/hub,Go,354,7336,222,4945,4.142,4.792
0,99401299,ai/nanoid,JavaScript,104,4887,119,1213,3.002,8.985
0,2744972,websockets/ws,JavaScript,481,11320,173,4423,3.568,25.362
0,44998092,JohnCoates/Aerial,Swift,216,19668,53,2942,3.394,8.382
0,142187665,HarisIqbal88/PlotNeuralNet,TeX,11,2269,10,835,2.034,2.666
0,18351848,typicode/lowdb,JavaScript,54,1396,36,2435,1.133,4.665
0,26820798,avajs/ava,JavaScript,875,14106,301,2271,2.062,22.674
0,52034309,uber-go/zap,Go,478,1578,129,2909,4.907,31.413
0,124171501,Meituan-Dianping/mpvue,JavaScript,35,8393,127,516,2.466,6.971
0,12670444,petkaantonov/bluebird,JavaScript,285,15385,212,3377,5.754,4.327
0,46622323,camsong/You-Dont-Need-jQuery,JavaScript,166,727,81,2699,2.595,15.073
0,15570122,chriskiehl/Gooey,Python,82,4269,82,3048,2.167,6.933
0,5508088,svg/svgo,JavaScript,363,5360,188,3393,4.34,12.738
0,3606624,ReactiveCocoa/ReactiveCocoa,Swift,923,17092,203,4121,10.566,13.863
0,38307428,graphql/graphql-js,TypeScript,1645,21884,187,2033,7.012,25.64
0,48795298,dylanaraps/neofetch,Shell,746,8005,182,2169,4.923,12.972
0,193526915,dandavison/delta,Rust,506,10098,119,1609,4.143,30.122
0,478584,jsdom/jsdom,JavaScript,808,42288,290,4876,5.995,13.962
0,26784827,dotnet/core,PowerShell,1164,29285,323,2284,5.191,20.237
0,62104779,SortableJS/Vue.Draggable,JavaScript,49,15158,29,1579,3.963,3.61
0,106024057,pyg-team/pytorch_geometric,Python,2441,18114,425,2314,5.56,45.821
0,197018189,xyflow/xyflow,TypeScript,131,34414,75,431,3.178,12.111
0,261279710,facebookexperimental/Recoil,JavaScript,17,49843,100,24,4.754,3.164
0,95412229,PanJiaChen/vue-admin-template,JavaScript,28,1013,11,1096,1.451,4.372
0,32665718,railsware/upterm,TypeScript,288,7811,58,1452,3.958,13.254
0,15150300,tobiasahlin/SpinKit,CSS,50,265,16,2147,1.83,6.619
0,27291507,asdf-vm/asdf,Shell,661,2943,211,3336,5.046,24.509
0,24063576,semantic-release/semantic-release,JavaScript,621,6041,209,3431,5.284,14.869
0,148641954,TheAlgorithms/Rust,Rust,450,954,201,1972,6.856,59.405
0,28538501,react-grid-layout/react-grid-layout,JavaScript,195,16436,109,3254,3.369,10.854
0,79527893,jorgebucaran/hyperapp,JavaScript,233,6936,99,1311,2.189,10.585
0,50726688,spaceship-prompt/spaceship-prompt,Shell,368,10151,164,2809,3.51,7.04
0,90356372,ArchiveBox/ArchiveBox,Python,129,7496,104,1463,2.205,5.237
0,16989371,MagicMirrorOrg/MagicMirror,JavaScript,82,23065,307,3602,5.785,15.576
0,280363952,umami-software/umami,TypeScript,215,12092,218,1244,3.586,14.658
0,38565895,reduxjs/redux-devtools,TypeScript,356,31464,101,2255,5.362,17.1
0,64705781,SwifterSwift/SwifterSwift,Swift,581,16213,152,2737,4.284,27.947
0,44869078,zalmoxisus/redux-devtools-extension,JavaScript,94,11615,64,1579,2.383,8.321
0,245166720,ajeetdsouza/zoxide,Rust,40,2362,61,373,3.35,7.584
0,40217904,swaywm/sway,C,2764,29688,395,3106,13.14,58.493
0,79509385,danilowoz/react-content-loader,TypeScript,123,7118,45,2242,1.843,11.403
0,93076012,schickling/chromeless,TypeScript,88,1088,41,424,4.172,9.519
0,8708394,filp/whoops,PHP,291,1695,128,3888,4.356,15.276
0,182095352,nilaoda/N_m3u8DL-CLI,C#,11,6399,9,1218,1.418,2.89
0,194027578,alibaba/hooks,TypeScript,624,9517,209,1680,5.614,15.501
0,2945088,revel/revel,Go,102,2827,129,2480,3.298,5.216
0,7323572,davidshimjs/qrcodejs,JavaScript,16,130,14,1064,2.044,3.708
0,68125931,ShangtongZhang/reinforcement-learning-an-introduction,Python,49,6162,28,1871,1.347,6.613
0,46180504,FaridSafi/react-native-gifted-chat,TypeScript,388,47898,185,2819,6.705,10.382
0,30444489,jbranchaud/til,Vim Script,16,2190,16,2000,1.598,10.5
0,17618901,Tonejs/Tone.js,TypeScript,13,28341,89,1103,3.345,1.885
0,46041284,VSCodeVim/Vim,TypeScript,2602,19781,345,3008,9.657,48.343
0,24993138,google/brotli,TypeScript,539,37299,97,3393,3.461,20.748
0,1136075,cubiq/iscroll,JavaScript,44,1586,11,2217,1.611,4.975
0,190964861,gyoogle/tech-interview-for-developer,Java,129,6706,71,1694,2.803,5.281
0,1685764,dhg/Skeleton,CSS,24,6398,19,1337,1.825,2.271
0,3428345,ftlabs/fastclick,HTML,67,322,44,2558,2.511,5.006
0,126365965,linlinjava/litemall,Java,96,24595,60,1955,3.136,6.136
0,7363211,knex/knex,JavaScript,1432,45644,435,3990,12.36,26.067
0,125863507,testing-library/react-testing-library,JavaScript,327,1609,166,1130,3.023,23.717
0,285508823,rescript-association/rescript-lang.org,MDX,480,13997,156,1278,6.352,16.169
0,11394510,PaulTaykalo/objc-dependency-visualizer,JavaScript,21,1877,5,1551,1.282,4.087
0,5397873,toorshia/justgage,JavaScript,48,3329,27,3927,2.362,5.565
0,62021805,testshallpass/react-native-dropdownalert,TypeScript,83,36533,23,2070,1.478,7.471
0,130452003,youzan/zan-proxy,TypeScript,57,9401,15,625,2.237,4.911
0,1047351,node-js-libs/node.io,JavaScript,18,3248,13,917,1.913,4.562
0,63375309,danpaquin/coinbasepro-python,Python,90,299,58,2438,3.955,7.714
0,79046698,arzzen/git-quick-stats,Shell,73,397,39,2550,2.243,9.881
0,26732453,louthy/language-ext,C#,195,19861,82,2038,2.888,5.078
0,68254498,cleverhans-lab/cleverhans,Jupyter Notebook,616,9369,109,2329,3.612,14.492
0,14075080,roots/bedrock,PHP,306,847,77,3743,5.062,27.089
0,31810895,moroshko/react-autosuggest,JavaScript,63,8592,47,2134,3.096,6.247
0,62095504,sdispater/pendulum,Python,171,2727,90,2727,3.013,9.883
0,46386922,angular/flex-layout,TypeScript,353,7277,56,2718,3.81,12.934
0,142967350,reach/reach-ui,TypeScript,193,30923,141,681,4.35,7.108
0,38603315,hiloteam/Hilo,JavaScript,5,36305,19,805,1.487,1.72
0,29703101,raulriera/TextFieldEffects,Swift,25,663,20,2920,2.227,4.45
0,222258954,dstotijn/hetty,Go,21,2101,8,523,1.871,2.865
0,5660085,thephpleague/omnipay,PHP,236,1704,128,4050,3.446,3.181
0,23551107,ghosh/uiGradients,Vue,376,5833,230,1772,5.692,18.673
0,147545986,plantuml-stdlib/C4-PlantUML,PlantUML,99,7579,29,1977,3.262,15.605
0,44409210,RichardLitt/standard-readme,Shell,34,103,22,2610,2.125,4.25
0,143253020,microsoft/FASTER,C#,265,9978,60,1307,3.946,25.173
0,281769216,ixartz/Next-js-Boilerplate,TypeScript,24,8545,24,850,3.256,4.298
0,47025785,SwiftyBeaver/SwiftyBeaver,Swift,156,2446,74,2851,4.259,14.815
0,30329296,matthewmueller/x-ray,JavaScript,58,1340,37,2015,3.038,3.365
0,239760033,sivan/heti,SCSS,53,1302,11,1318,1.772,8.869
0,100464123,microsoft/MMdnn,Python,284,37216,66,1863,2.748,30.088
0,10368942,Grsmto/simplebar,TypeScript,85,19997,54,3624,3.389,3.389
0,72314479,vuejs/vetur,TypeScript,955,13255,139,2302,2.784,21.543
0,103826539,openatx/uiautomator2,Python,39,1725,29,2005,1.996,4.342
0,46879057,langren1353/GM_script,JavaScript,13,2947,10,2945,1.704,3.437
0,7639232,angular/protractor,JavaScript,517,9509,254,2675,4.81,15.407
0,1944156,olivernn/lunr.js,JavaScript,46,4095,37,3344,1.444,3.639
0,4287921,reactphp/reactphp,PHP,145,1367,33,3564,4.054,6.494
0,1713774,TTTAttributedLabel/TTTAttributedLabel,Objective-C,135,1653,83,3384,3.645,13.541
0,148829497,o2sh/onefetch,Rust,249,27249,121,1019,3.564,21.36
0,47524979,guarinogabriel/Mac-CLI,Shell,71,11728,48,2608,1.795,10.213
0,117152902,oclif/oclif,TypeScript,166,3911,49,1427,2.166,6.377
0,64290739,dodyg/practical-aspnetcore,C#,22,44622,31,1287,1.971,4.094
0,66641037,LonamiWebs/Telethon,Python,310,8186,153,2091,5.848,11.404
0,31935508,yiminghe/async-validator,TypeScript,61,1128,43,2716,3.246,3.624
0,190416463,actions/runner-images,PowerShell,420,10534,257,406,4.588,8.864
0,80016159,graphql/graphql-playground,TypeScript,256,7888,97,1544,2.249,10.943
0,976994,pennersr/django-allauth,Python,895,11606,409,4631,4.119,47.153
0,93565582,howtographql/howtographql,TypeScript,635,15528,390,1603,8.797,12.07
